::ffff:172.20.0.1 - - [27/Feb/2023:18:50:24 +0000] "GET /v1/auth/ HTTP/1.1" 401 - "-" "PostmanRuntime/7.31.0"
::ffff:172.18.0.1 - - [03/Mar/2023:19:57:07 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:19:57:54 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:19:58:42 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:00:08 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:02:50 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:03:22 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:04:23 +0000] "POST /v1/auth/register HTTP/1.1" 403 82 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:05:19 +0000] "POST /v1/auth/register HTTP/1.1" 500 165 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:10:33 +0000] "POST /v1/auth/register HTTP/1.1" 201 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:13:56 +0000] "POST /v1/auth/login HTTP/1.1" 200 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:16:14 +0000] "POST /v1/auth/login HTTP/1.1" 200 416 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:17:49 +0000] "POST /v1/auth/login HTTP/1.1" 200 692 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:19:27 +0000] "POST /v1/auth/login HTTP/1.1" 200 257 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:21:09 +0000] "POST /v1/auth/login HTTP/1.1" 200 256 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:21:23 +0000] "POST /v1/auth/login HTTP/1.1" 200 71 "-" "PostmanRuntime/7.31.1"
::ffff:172.18.0.1 - - [03/Mar/2023:20:21:26 +0000] "POST /v1/auth/login HTTP/1.1" 200 256 "-" "PostmanRuntime/7.31.1"
